"","2019-01-01","2019-01-02","2019-01-03","2019-01-04","2019-01-05","2019-01-06","2019-01-07","2019-01-08","2019-01-09","2019-01-10","2019-01-11","2019-01-12","2019-01-13","2019-01-14","2019-01-15","2019-01-16","2019-01-17","2019-01-18","2019-01-19","2019-01-20","2019-01-21","2019-01-22","2019-01-23","2019-01-24","2019-01-25","2019-01-26","2019-01-27","2019-01-28","2019-01-29","2019-01-30","2019-01-31","2019-02-01","2019-02-02","2019-02-03","2019-02-04","2019-02-05","2019-02-06","2019-02-07","2019-02-08","2019-02-09","2019-02-10","2019-02-11","2019-02-12","2019-02-13","2019-02-14","2019-02-15","2019-02-16","2019-02-17","2019-02-18","2019-02-19","2019-02-20","2019-02-21","2019-02-22","2019-02-23","2019-02-24","2019-02-25","2019-02-26","2019-02-27","2019-02-28","2019-03-01","2019-03-02","2019-03-03","2019-03-04","2019-03-05","2019-03-06","2019-03-07","2019-03-08","2019-03-09","2019-03-10","2019-03-11","2019-03-12","2019-03-13","2019-03-14","2019-03-15","2019-03-16","2019-03-17","2019-03-18","2019-03-19","2019-03-20","2019-03-21","2019-03-22","2019-03-23","2019-03-24","2019-03-25","2019-03-26","2019-03-27","2019-03-28","2019-03-29","2019-03-30","2019-03-31","2019-04-01","2019-04-02","2019-04-03","2019-04-04","2019-04-05","2019-04-06","2019-04-07","2019-04-08","2019-04-09","2019-04-10","2019-04-11","2019-04-12","2019-04-13","2019-04-14","2019-04-15","2019-04-16","2019-04-17","2019-04-18","2019-04-19","2019-04-20","2019-04-21","2019-04-22","2019-04-23","2019-04-24","2019-04-25","2019-04-26","2019-04-27","2019-04-28","2019-04-29","2019-04-30","2019-05-01","2019-05-02","2019-05-03","2019-05-04","2019-05-05","2019-05-06","2019-05-07","2019-05-08","2019-05-09","2019-05-10","2019-05-11","2019-05-12","2019-05-13","2019-05-14","2019-05-15","2019-05-16","2019-05-17","2019-05-18","2019-05-19","2019-05-20","2019-05-21","2019-05-22","2019-05-23","2019-05-24","2019-05-25","2019-05-26","2019-05-27","2019-05-28","2019-05-29","2019-05-30","2019-05-31","2019-06-01"
"2019-01-01",1,0.999774202015795,0.999889197235106,0.999845926315137,0.998615542797755,0.998601473427473,0.999878870607125,0.998905476252979,0.998924295599966,0.999953979831469,0.999991338827896,0.999783257908713,0.998988640303619,0.998887510489854,0.999000714245058,0.998954717372427,0.998981115523173,0.998970280578863,0.998952179386875,0.99897287042125,0.998937867010839,0.999891378602864,0.998923093114506,0.999870404060111,0.998894581980957,0.998846620702408,0.998747509714139,0.998756566914278,0.999497342564229,0.998570021903222,0.999613582600323,0.999357290743964,0.999513306290925,0.998582583098666,0.998521864475338,0.998668112167616,0.998667338673617,0.99860196255767,0.999512185082266,0.998892561314297,0.998897203299198,0.998978875613418,0.999937283329093,0.999958167283356,0.999974485672633,0.99896272899131,0.998969002764789,0.998974041779567,0.998910138492598,0.99989329218807,0.999955946715748,0.998851666945803,0.999929515700176,0.998858002278762,0.998739797424223,0.999997922560464,0.998943466587858,0.999985834913345,0.998972076599765,0.99895948265541,0.99895577705534,0.998976781918515,0.99999565104912,0.998989415946134,0.998962104871043,0.998948651682946,0.998965210203888,0.998993802854503,0.998843326746111,0.998850383756945,0.998987145620361,0.999998133241059,0.99998927010435,0.998974941217365,0.998969849865335,0.99895913253204,0.999999527254949,0.999999211954365,0.998843576199578,0.999994071377435,0.998974515068548,0.9989704869783,0.99883912110194,0.998969700478707,0.998969764555468,0.998972475037071,0.999995430047936,0.998968326559308,0.999999565191698,0.999804926706649,0.999998381987848,0.999993032121534,0.99998068427107,0.999896137684194,0.999882498466544,0.998921206121179,0.998915872346817,0.998945823967162,0.998952023016194,0.999985028733329,0.999951898908334,0.999942446576708,0.99990869445356,0.998892475312082,0.999918982826028,0.998878395495674,0.999868837616362,0.99985722576317,0.998947320341235,0.999945341741613,0.998917003391049,0.999950591288189,0.998871863342713,0.998767175614483,0.999634225636404,0.999343263631306,0.999396984555015,0.998571223288108,0.998491629200451,0.999368816875337,0.999471710340831,0.998475745327505,0.998376803182733,0.99823261801475,0.997738668887403,0.998743253898562,0.999515630559612,0.99894498108726,0.998821125426294,0.997974340565844,0.997346826707294,0.997904770303174,0.998014262970642,0.996501885156905,0.998085095934256,0.999440403175104,0.999937764453152,0.999939644787014,0.998874362884737,0.998819053837805,0.999733862634884,0.999832836452751,0.999806374740225,0.999645399095802,0.998709069983558,0.999641915195871,0.998633909896611,0.999420335289792,0.999625040061948,0.998700358654898,0.998653402704847,0.999620462393971
"2019-01-02",0.999774202015795,1,0.999774629558262,0.999747504713662,0.998535145027918,0.998522068603806,0.999766095233586,0.998724501555654,0.998734194925027,0.999798974487318,0.999736709390705,0.999912959965085,0.99868053262823,0.998503114287454,0.998707999986094,0.998606879908097,0.998656093037621,0.998634292683815,0.998599955850001,0.998638230914817,0.998575967722433,0.999560319772819,0.998555604714979,0.999526457112965,0.99851289501882,0.998443230265225,0.998754467420018,0.998319221454324,0.999042756530397,0.998080247035418,0.999187596983912,0.999311231788697,0.999062531138337,0.998523566473234,0.998446458184451,0.998202141101897,0.998201594496125,0.998118720989813,0.999060734726621,0.998509355924842,0.998517087096425,0.99865718754608,0.999628932380583,0.999664485920576,0.999694687501814,0.99863507881313,0.998649549643289,0.99866293924295,0.998717445939066,0.999769719245475,0.999795335335945,0.99868899032424,0.999786642315418,0.998692505523561,0.998618272928021,0.999784379593016,0.998729660865589,0.999795375121421,0.998732664175693,0.998731770699583,0.998730009091375,0.998726038562851,0.999745459972108,0.998696183960846,0.998732180730718,0.99872741575509,0.998733423536084,0.998723554110932,0.998990737449689,0.998981771603356,0.998706655835428,0.999756375859726,0.999727012806336,0.998683253415123,0.998713839786953,0.998717825414617,0.999773843893724,0.999763194680518,0.998938769376023,0.999743898947725,0.998670259086612,0.998661730843796,0.998945269647475,0.998664995610855,0.998664471010627,0.998666760731487,0.999745934374539,0.998677933123118,0.999771449409852,0.99997662538112,0.999761281402754,0.999738568325452,0.999706204654552,0.999561296643428,0.999541016183978,0.998586764776421,0.998574826871858,0.998639300135791,0.998667436698822,0.99971905365924,0.999651211987958,0.99963493594104,0.999582293872756,0.998519776060016,0.999596431171994,0.998497712420534,0.999522176048605,0.999505309196839,0.998615979592475,0.999639680692468,0.998556794108038,0.999645683965344,0.998485471434524,0.998333310476265,0.999208569647846,0.998852408516032,0.998917301421391,0.998081011273352,0.997983470380734,0.998883702545214,0.999008839605608,0.997964937565434,0.997845268264642,0.997672582060301,0.997099094826099,0.998155455030735,0.999061936495052,0.998386976229259,0.998244246120776,0.997290273505109,0.996652250586379,0.997212036350159,0.997333849913313,0.995674656336418,0.997414233138957,0.998971884364519,0.999630394550969,0.999632987499466,0.998479223052583,0.998405855296871,0.999339783692794,0.999472836552276,0.999436741926016,0.999226967182916,0.998257637627816,0.999222146595935,0.998157507428567,0.998948090448915,0.999201230892083,0.998244714104399,0.998184028606374,0.999195748784948
"2019-01-03",0.999889197235106,0.999774629558262,1,0.999996393931957,0.998912072035978,0.998905622617845,0.999999736224113,0.998992398218009,0.998994102215646,0.999984484912033,0.999820334981642,0.999587729688366,0.998814571621437,0.998553911071683,0.99885789886685,0.99869648791772,0.998773779998416,0.998740661856773,0.998690722933286,0.998749996922911,0.998654897443871,0.999563114216302,0.998626878691995,0.999521223201481,0.99857148424633,0.998478940250151,0.998418241858537,0.998317819092276,0.998916137901927,0.998021886715305,0.999089785094558,0.998806189802338,0.998939601630552,0.998117805771479,0.998022498537886,0.998170860991666,0.998170882230756,0.998068310420952,0.998937880598405,0.998566194653365,0.99857816598775,0.998781052124341,0.999661091236107,0.999712915648509,0.999759120702941,0.998754101204035,0.998776871252995,0.998798022147705,0.998981356506384,0.999999745966604,0.999984629927656,0.998983386833896,0.9999952322612,0.998985167424657,0.998958902352631,0.999916164316509,0.998970880559798,0.999953853081995,0.998949128053739,0.998959004807457,0.998960718374219,0.998930094365521,0.999842325214985,0.998855194148703,0.998957580420703,0.9989655186523,0.998957524627097,0.998904700584285,0.998804586744492,0.998778053285905,0.998877339827955,0.999861991160844,0.999811200355044,0.998844836392808,0.998912156068854,0.998934946653503,0.999896534389689,0.999874822140372,0.998699175773676,0.999834630017976,0.998816025379914,0.998804100086982,0.998714633971013,0.998808132908009,0.998806036187605,0.998810257582827,0.999842321949313,0.998837885432097,0.999891454941257,0.999704727818696,0.999872202629296,0.999832936915519,0.9997799583403,0.999572855110156,0.999545107644968,0.998704349340059,0.99868564447562,0.998787686304113,0.998837367558871,0.999795657544947,0.999696662574995,0.999673359611397,0.999598236743649,0.998596240864198,0.999620050647468,0.998566696589959,0.999518062878504,0.999496121884588,0.998736512277923,0.999680084590607,0.998646128857785,0.999693043664355,0.998546440809771,0.998343719690747,0.999121730313941,0.998694145125555,0.998770389813471,0.998029771146959,0.997912517743846,0.998730120611767,0.998878043921819,0.997890769043796,0.99774688786844,0.997543550075705,0.996883019167559,0.99788758671437,0.998942274867581,0.998151537447918,0.997988678776036,0.99691772213687,0.996375407092053,0.996832053637257,0.996966951389431,0.995148669039837,0.99705461569524,0.998832153515366,0.999661180553833,0.999665567373515,0.998523346820373,0.99843266517305,0.999279960497549,0.99945012962837,0.999402869454849,0.999138525507619,0.998237167197647,0.999133075730079,0.998113930592024,0.998803127424588,0.999107011908717,0.998224277154403,0.998149193998329,0.999100097629233
"2019-01-04",0.999845926315137,0.999747504713662,0.999996393931957,1,0.998938801975378,0.99893377363957,0.99999800384817,0.99898139210959,0.998980012695363,0.99996665695773,0.999766053088339,0.999525328258289,0.998756552279139,0.998467186298177,0.998805529975519,0.998623358932932,0.998709823145774,0.998672691837284,0.998617046785853,0.998683266209497,0.998577347221537,0.999480640423994,0.998546918647135,0.999434925937397,0.998486658252287,0.998386094485964,0.998328675842708,0.998212191551915,0.998788035194599,0.997896583383028,0.998972150586267,0.99867983766803,0.9988128726076,0.998003935251137,0.997902375514133,0.998054768230038,0.998054926947464,0.99794566729886,0.998811051356675,0.998480845230649,0.998494132348247,0.998718839383033,0.999587892960943,0.999645244749257,0.999696848189284,0.998689918034861,0.998715663433159,0.998739709713911,0.998967579737661,0.999995509655415,0.999966374773102,0.998980528402824,0.999983694449926,0.998981507326896,0.998971794012356,0.999878043009271,0.99894925534575,0.999924710527949,0.998918448654954,0.998932381312848,0.998935060709021,0.998895140382076,0.999791356373061,0.998804506990216,0.998930235993288,0.998942044770655,0.998929622060476,0.998862139164352,0.998767418368321,0.998734837686788,0.998831047458253,0.999814051320093,0.999755724125621,0.998794839776104,0.99887518959719,0.998904016305075,0.999854573923531,0.999829009891979,0.998642940328062,0.999782427984697,0.99876088005219,0.998747546931634,0.998661931555294,0.998752398131982,0.998749927052756,0.998754449830295,0.999791299022893,0.998787779834622,0.999848527720892,0.999659540524573,0.999825947789853,0.999780523064028,0.999720304790256,0.99949114182179,0.999460906255871,0.99863860001259,0.998617533923969,0.998732548261985,0.99879008459992,0.999738044027867,0.999627267071478,0.999601467550538,0.999518868368319,0.998516322893154,0.999542799393951,0.998484000746405,0.999431489005497,0.999407657435328,0.998671977569808,0.999608929894808,0.998570814286045,0.999623289671235,0.998461318115662,0.998240985643351,0.999006151329605,0.998553978007225,0.998634272602153,0.997905855083643,0.997781832423092,0.998591873629704,0.998747871052981,0.997759004020739,0.997607062066076,0.997393086918384,0.996702613394605,0.997710295865316,0.998815823545721,0.997985492470997,0.997815660572776,0.996704458808858,0.996174331344443,0.996615908640461,0.996755373772544,0.994882116398158,0.996846072331749,0.998699524930546,0.999588253720337,0.999593092301328,0.998433846125519,0.998336793074933,0.999175096057538,0.999358073540256,0.999307103366583,0.999024152100138,0.998125935697682,0.999018356475918,0.997994096514408,0.998668943152687,0.998990593701966,0.998112257419876,0.998032095492469,0.998983216582907
"2019-01-05",0.998615542797755,0.998535145027918,0.998912072035978,0.998938801975378,1,0.999999851040059,0.9989147958564,0.999900519323393,0.999883596587413,0.998787689866816,0.998496853222949,0.998184100620888,0.999498319577394,0.999100974159105,0.999562855394237,0.999303290618491,0.999425233789713,0.999373173214019,0.999295166769134,0.9993891277622,0.999239595515374,0.998058896746927,0.999204582706897,0.998044298812932,0.999130504291897,0.999001247644529,0.998910448926709,0.998776064119042,0.99724795209136,0.998384819995735,0.9974762587403,0.997109904378522,0.99727937034084,0.998483479522316,0.998360543290203,0.998573862017241,0.998576850539216,0.998440192064179,0.997278741649852,0.999122107507749,0.999142595243848,0.999447062073249,0.998266023201637,0.998348143233747,0.998415884664402,0.999422433718927,0.999459616945872,0.999494630908831,0.999885091924433,0.998911207066166,0.998835946843428,0.99993854403813,0.998870828152809,0.999935081612157,0.999986366408909,0.998670322161528,0.999836229931201,0.998749729921834,0.999769207405962,0.999800566881413,0.999807732392164,0.999733645866586,0.998540384878869,0.999580513775696,0.999795144658798,0.999823228499772,0.999790798445399,0.999663825923613,0.999547877235011,0.999493604831919,0.999626741674,0.998590662493152,0.998507377773408,0.999588297139316,0.99971616438394,0.999767298752326,0.99864940244747,0.99860843536609,0.999361529432019,0.998536602755136,0.999531496102378,0.999515126670321,0.999399245210091,0.999524979735611,0.999520596391162,0.999523826186377,0.998555846760615,0.999587324124432,0.998647192280783,0.998412158861651,0.998637341137949,0.998573186064915,0.998471441072661,0.998169401300067,0.998127703696121,0.999402725829843,0.999371608072347,0.999531670506182,0.999617093905334,0.998500754268993,0.998340707936515,0.998301305906112,0.998191424093019,0.999205046416789,0.998222630579525,0.999162955096834,0.998071608098606,0.998043797398129,0.99941777670706,0.998302299050004,0.999271897242124,0.998324762232329,0.999125110210178,0.998827731949799,0.997528682460304,0.996991357378307,0.997094354483793,0.998412250085343,0.99826634612737,0.997032947573134,0.997226398551277,0.998243001416319,0.998059440608075,0.997803524258524,0.996997816449505,0.996019071564438,0.997302118481787,0.996329416595704,0.996120511370856,0.99485320926262,0.996364510975864,0.994743935247134,0.99490487751776,0.992832334421301,0.995007883890842,0.997138316071851,0.998244660876793,0.998245384082123,0.999052875476043,0.998946713438732,0.997734335326146,0.997966282134884,0.997892392477848,0.99753870994268,0.998666215096446,0.997534905320146,0.998494037786834,0.99710568978389,0.99749142414864,0.998651444205006,0.998551310397762,0.997482886348162
"2019-01-06",0.998601473427473,0.998522068603806,0.998905622617845,0.99893377363957,0.999999851040059,1,0.99890873142525,0.999893066551309,0.999875553965534,0.99877854088087,0.998480635157558,0.998164223770808,0.99948177942111,0.999078885174696,0.999547413624276,0.999283832188081,0.99940756508866,0.999354732446226,0.999275630537562,0.99937094407566,0.999219312882392,0.998037243964425,0.999183818551543,0.998021919638831,0.999108806496901,0.998977990415673,0.998885769084671,0.998750340589206,0.997217477778722,0.998355294238883,0.997447826930328,0.997077695033364,0.997249172107065,0.998454114236851,0.998329959403676,0.998546131060918,0.998549141650055,0.998411191394124,0.997248523476162,0.999100308407569,0.999121054845032,0.999429737904274,0.998246176000852,0.998329356249547,0.998398144593147,0.999404738472412,0.999442496126137,0.999478067964502,0.999877146777288,0.998904696670743,0.998826726196032,0.999932710522492,0.998862910370117,0.999929097619994,0.999983582113387,0.998657258655074,0.999826770123603,0.998738411933677,0.999758000920822,0.999790146828293,0.99979750160215,0.999721613230214,0.998524854104716,0.999565442720378,0.999784583887167,0.999813428571276,0.99978013541447,0.999650320604852,0.999533335360935,0.999477893041635,0.999612520251006,0.998575709028143,0.998490970013081,0.999573358863493,0.999703742489757,0.999756047261944,0.998635604661192,0.998593893996994,0.999343301723835,0.998520804445102,0.999515549455511,0.999498916849167,0.999381686853043,0.999508910934341,0.99950445640739,0.999507755404126,0.998540290867129,0.999572360847732,0.998633203340251,0.998395645951952,0.998622704247405,0.998557351968296,0.998454216281293,0.998147929549929,0.998105756820832,0.999384737236666,0.999353169401729,0.999515738301285,0.999602679947342,0.998483917813855,0.998321618644193,0.998281726771772,0.998170395034779,0.999184326773081,0.998202025311327,0.999141706360098,0.998049192870895,0.99802101216593,0.999400031100751,0.998282874842025,0.999252071092289,0.998305621785295,0.999103395511185,0.99880260921459,0.997500678919645,0.996958604380359,0.99706238746833,0.998383042796164,0.998235833343567,0.997000568678195,0.99719557721423,0.998212271058436,0.998027154121345,0.997769181663755,0.996957686532421,0.995979141925854,0.997272026117118,0.996291665539785,0.996081415791366,0.994806349688072,0.996320401270307,0.994696516643523,0.994858340789626,0.992775188957561,0.994961935534616,0.997107022412683,0.998224910762254,0.998225718459943,0.999030325445971,0.998922934598612,0.997708415721629,0.997942837574135,0.99786823222875,0.997510947669544,0.998639459683396,0.997507079485536,0.998465630383803,0.99707410443774,0.997463256090482,0.998624536486386,0.998523416103447,0.997454625201685
"2019-01-07",0.999878870607125,0.999766095233586,0.999999736224113,0.99999800384817,0.9989147958564,0.99890873142525,1,0.998985490278947,0.998986422187054,0.99998064187207,0.999807142787605,0.999570201098683,0.99879564226566,0.998527658612983,0.998840437531249,0.998673727258393,0.998753385825558,0.99871923864748,0.998667854701735,0.998728911111819,0.998631041617131,0.99954286645339,0.998602394062975,0.999499899355229,0.99854575300018,0.998451158129821,0.998389080251324,0.998286791787454,0.998884117303404,0.997985837220482,0.999060482880081,0.998772365357326,0.998907941392084,0.998082479367843,0.997985564629846,0.998137180047457,0.998137232633836,0.998032967903168,0.998906199039859,0.998540356056346,0.998552665261415,0.998761128000063,0.999643083790403,0.999696299355905,0.999743900350062,0.998733632259112,0.998757166978974,0.998779047197379,0.998973771071305,0.999999392972766,0.999980684287544,0.998978590686006,0.999993015871787,0.998980178414509,0.998958139138472,0.999907142959956,0.998961292552216,0.999947135586295,0.998937245571751,0.998948147386296,0.998950109599086,0.998917110962676,0.99983004192636,0.998838212287803,0.998946548822134,0.998955487662426,0.998946365766004,0.998889815242429,0.998788812297545,0.99876073773587,0.998861474230382,0.999850428067674,0.999797717448349,0.998827997625511,0.998898634861276,0.998922983107732,0.999886515359311,0.999863820112221,0.998678511311844,0.999821975259864,0.998797860728468,0.998785584760724,0.998694843138096,0.998789796802495,0.998787604375711,0.998791927729881,0.999829961014762,0.998820990247093,0.999881158718465,0.999691588848842,0.999860998202114,0.999820149588032,0.999765370701771,0.999552628502953,0.999524240304291,0.998683412246247,0.998664115676638,0.998769471096986,0.998821164909851,0.999781565608203,0.999679600663342,0.99965565796046,0.999578608908065,0.998571737977549,0.999600996736779,0.998541494217378,0.999496627052677,0.999474199252198,0.998715951043387,0.999662611917461,0.998622830098273,0.999675931147713,0.998520644584724,0.998313449834879,0.999092942354621,0.99865905863869,0.998736318037673,0.997994109339212,0.997875119572264,0.998695543776988,0.998845500771021,0.997853093827578,0.997707155957841,0.997501105809319,0.99683294604331,0.997843008329148,0.998910718428998,0.998109855659278,0.997945251591778,0.996864027830286,0.996320131971886,0.996777664616156,0.996913723250127,0.995081387123827,0.997002145417399,0.998799076798921,0.999643337478385,0.999647850367086,0.99849650207405,0.998404166498369,0.999253916509659,0.999427355936857,0.999379169098539,0.999110071467944,0.998204766702548,0.999104529158225,0.998079354693892,0.998769643189459,0.999078042321274,0.998191666641451,0.998115290027668,0.999070988682251
"2019-01-08",0.998905476252979,0.998724501555654,0.998992398218009,0.99898139210959,0.999900519323393,0.999893066551309,0.998985490278947,1,0.999999275840661,0.998944020688721,0.998844417259305,0.998559405633798,0.999845554107998,0.999599399766273,0.999880289049206,0.999730137184952,0.999803726113748,0.999772811483176,0.999724946076192,0.999782300242575,0.999689739305725,0.998555467683739,0.999667332779803,0.998560659639612,0.999618804458114,0.999531947481649,0.999409016228476,0.999374093422526,0.997984471196275,0.999086572977262,0.998157834317275,0.997822214550293,0.998008695151444,0.999110385001623,0.999020277911832,0.999227242850635,0.99922944901578,0.999128068576453,0.998008568510194,0.999613346057658,0.999626908410329,0.99981639666584,0.998713171315011,0.998766016237631,0.998805385831058,0.999802075059164,0.999823582957469,0.999843323843473,0.999999191554736,0.998995251136343,0.998993804846136,0.999995167218316,0.998993451615031,0.99999593582537,0.999960038693064,0.99893292811798,0.999991804568605,0.998965108696674,0.999972555936405,0.999982558808828,0.999984625390685,0.999959496096262,0.998870788403882,0.999889347772135,0.999980943189423,0.99998870343707,0.999979593084758,0.999929864680914,0.999770536201279,0.999748108225157,0.999912354205199,0.998904811011867,0.998861238135919,0.999893250245097,0.999952447273008,0.999971798259907,0.998932079845414,0.998911410576995,0.999684493125205,0.998873052296961,0.999863504504966,0.999854605470649,0.999703410796595,0.999859965148246,0.999857591353762,0.999859357145679,0.998886167213913,0.999892672885527,0.99893480911127,0.998696617456146,0.998942139583123,0.998910285470107,0.998846977785315,0.998661066847179,0.998632706193598,0.999790199045607,0.999771587067907,0.999863318151879,0.999907399794919,0.998865443712162,0.998767790500027,0.998741554727604,0.998670975304358,0.999667607393725,0.998691164907183,0.999640185045926,0.99858929191095,0.998571325237726,0.999799241261873,0.998738820889888,0.999710279128471,0.998753970231648,0.99961521930344,0.999410791677953,0.998199488007762,0.997791666526046,0.997873258898631,0.999107039246945,0.998996802925278,0.997823263985242,0.997974047353484,0.99897905849987,0.998838039431092,0.998638217369281,0.997990354050719,0.997014993328642,0.998030392647492,0.997266248341063,0.99709429709096,0.996039313161514,0.997466549278511,0.995945317733584,0.996082157277303,0.994299367902201,0.996169220538514,0.997899516203564,0.998691370267238,0.998689754861758,0.999566821151617,0.99949412420029,0.998349156166276,0.998513593791021,0.998459394100725,0.998203746932113,0.999294710127514,0.998201766513798,0.99916806880295,0.997875253900795,0.998167187749206,0.999284024152702,0.999210610353241,0.998161016694922
"2019-01-09",0.998924295599966,0.998734194925027,0.998994102215646,0.998980012695363,0.999883596587413,0.999875553965534,0.998986422187054,0.999999275840661,1,0.998952008079081,0.99886802996299,0.998584362605979,0.99986515239996,0.999631471874553,0.9998975792339,0.999756368752911,0.999826096417438,0.999796938712393,0.999751551653281,0.999805946477012,0.999718086813886,0.998591560686023,0.999696627776872,0.998598237190183,0.999650245385293,0.999566673055111,0.999440295424138,0.999414422004684,0.998040012735565,0.999135404269399,0.99820883873773,0.997874854250712,0.998063667801804,0.999152215772217,0.999064804610435,0.999272137858497,0.999274274678255,0.999175778605854,0.998063594656657,0.999644921294138,0.999657900935775,0.999837969895109,0.998744990639107,0.998795445890118,0.998832497867996,0.999824479924833,0.999844693366578,0.999863184918702,0.999999839435539,0.998997345124017,0.999001921845549,0.999991074892475,0.998998690088365,0.9999922444409,0.999949163805164,0.998949627121398,0.99999581845735,0.998977930915979,0.999980488069604,0.999988724260957,0.99999037529543,0.999969256840582,0.998893023150533,0.999905920683886,0.999987416765581,0.999993506621178,0.999986314547078,0.999942914301219,0.999779126242954,0.99975931089336,0.999927041912125,0.998925707337082,0.998885377648612,0.999909507881112,0.99996308149196,0.999979820899886,0.998950410062384,0.998931420501059,0.999701319563235,0.998895799949783,0.999881983364692,0.999873681313584,0.999718679161719,0.999878685425389,0.999876468428221,0.999878108201932,0.998908400203137,0.999908988335263,0.998953541235159,0.998714171937318,0.998962233072598,0.998933030405931,0.998872882478581,0.99869658807624,0.998669233643927,0.999813187796765,0.999795636207094,0.999881771620183,0.999922452558413,0.998890472572653,0.998797914552931,0.998772759898653,0.998705431740007,0.999696772803269,0.998724707251639,0.999670567795256,0.998626866376178,0.998609718480577,0.999821791151716,0.998769781315495,0.99973749137906,0.998784323757708,0.999646685635865,0.999449878864893,0.99824964205861,0.997852430193577,0.997932264438849,0.999155294143627,0.999047970647934,0.99788318951816,0.99803047056917,0.999030649572036,0.998893105734014,0.99869787395563,0.998062931202393,0.99709169509202,0.998085184291796,0.997338111450876,0.997169193890852,0.996131589086415,0.997548097818829,0.996038851051654,0.996173693298432,0.994414609994602,0.996259427784819,0.997956983524512,0.998723076378633,0.998721280231176,0.999600143418929,0.999530142517698,0.99839457349243,0.998553470464932,0.998500894970968,0.998253274587653,0.999337354515633,0.998251430395157,0.999214461570881,0.997933327152459,0.998217603706986,0.999327016993527,0.999255793329199,0.998211636818559
"2019-01-10",0.999953979831469,0.999798974487318,0.999984484912033,0.99996665695773,0.998787689866816,0.99877854088087,0.99998064187207,0.998944020688721,0.998952008079081,1,0.999907050216265,0.999683143842632,0.998861068240875,0.998658225661688,0.998893124257643,0.998773463164212,0.99883224366054,0.998807268454921,0.998768895537824,0.998814140701544,0.998740919759242,0.999707694170267,0.998717423201844,0.999672456103141,0.998671742786267,0.998595300923799,0.998520589576691,0.998459968305318,0.99915136598128,0.998203805047211,0.999303883377159,0.999030132955841,0.999172064570646,0.998269563594683,0.998186710089451,0.998334488002059,0.998334115898332,0.998245016925542,0.999170473899419,0.998667492470328,0.998676730537148,0.998835696608633,0.999785341742102,0.999825846476929,0.999861272739794,0.998812599869063,0.99882933397406,0.99884469458471,0.998938449491169,0.99998574274787,0.999998681463277,0.998918561928299,0.999996112905956,0.99892199948493,0.998862443152658,0.999970439880511,0.998943970679569,0.999990095754992,0.998940479776559,0.998942204088066,0.998941935199996,0.998929985336952,0.999922362958453,0.998886869945798,0.998942207152753,0.998942325049863,0.998943292994512,0.998919971542683,0.998801523156119,0.998787099986559,0.998900071421054,0.999935463743566,0.999899746680993,0.998874644295136,0.99891580405201,0.998926345168394,0.999958012297228,0.999944098318208,0.998734188227898,0.999916597002357,0.998856219981437,0.998847078883623,0.998742279506023,0.998849358038324,0.998848084330661,0.99885175924995,0.999921974975648,0.998867697207045,0.999954674279128,0.999764756226744,0.999941340099655,0.999914184428173,0.999876260817942,0.999713406417114,0.999691033674901,0.998764916621478,0.998751099342818,0.998827109019352,0.99886102342964,0.999887827061149,0.999812882363768,0.999794729642353,0.999734665630623,0.998686215595437,0.999752203038045,0.998662300341234,0.999669176453651,0.999650822390793,0.998795402624476,0.999800230384203,0.99872691116424,0.999810370475555,0.998647034267959,0.99848013334154,0.999331635024942,0.998953521263224,0.999021474771224,0.998209014502338,0.998105378429483,0.998985770028581,0.999117248202773,0.998085543903674,0.997958042716573,0.997776227333582,0.99717611914049,0.998221592609402,0.999174168993344,0.99846312942111,0.998314718257891,0.997325406671208,0.996711242418879,0.997245624382647,0.997371164736396,0.995663883981693,0.997452896121256,0.99907723136303,0.999786357407545,0.999789937941895,0.998634077233901,0.998555883033749,0.999468938870561,0.999613232624288,0.999573747590081,0.999346918591581,0.998391694100053,0.999342108039024,0.998286185087244,0.999051539059668,0.999319520661647,0.998380302280849,0.99831537195011,0.999313572573049
