"","BTC","ETH","XRP","USDT","BCH","BSV","LTC","EOS","BNB","XTZ","LINK","XLM","XMR","ADA","HT","TRX","USDC","DASH","CRO","ETC","NEO","MIOTA","XEM","ZEC","INO","MKR","ONT","PAX","DOGE","BAT","VET","BTG","TUSD","DCR","QTUM","INB","THR","ZB","ZRX","CNX","REP","WAVES","PZM","RVN","SNX","OMG","NANO","CENNZ","HOT","SEELE"
"LINK",0.374271243703556,0.430837324647912,0.398906183164267,0.196612871799732,0.277258978204594,0.28262425820092,0.337443208157025,0.379978653415481,0.270700879150323,0.180080589826355,1,0.378637906886851,0.447028526072646,0.328853087534592,0.299067408812751,0.386000797635353,0.0485464088472376,0.388233222724589,0.0973813398640507,0.34387142206892,0.380505311449433,0.380527924118382,0.400366635852514,0.411153647805453,0.176263181160079,0.304292584565455,0.318361187242833,-0.157184476494985,0.251661930112409,0.298056113886835,0.416131599807028,0.390468781809648,-0.033989213129977,0.418975074273104,0.352254434517204,0.10174203620684,-0.129272985140734,0.195545747127924,0.398016083003408,0.327947778744687,0.234562154125863,0.31641958337739,0.00533561978615193,0.174124933205007,0.133153209260357,0.355676607021591,0.333016343731778,0.0699354018210678,0.209329564571124,0.149790233861911
"XLM",0.764468571042997,0.76318617543832,0.791346268616394,0.134087579314291,0.664220708383873,0.640173605604684,0.662296880700366,0.736096943718598,0.429013523481073,0.394467590989005,0.378637906886851,1,0.746112408884964,0.711116033027292,0.329639502394326,0.600909065207471,0.0841318459034428,0.72353852264235,0.251230466187161,0.679240082376925,0.695708658217135,0.68924205490746,0.712264815859224,0.695266129093277,0.306322274399117,0.567456781527262,0.536354639970174,-0.129892352270371,0.444578483475368,0.416664532176892,0.642592657556046,0.704420955334174,-0.00390699526380992,0.678742382568408,0.654889160063834,0.260346365803332,0.00829903428795783,0.215877240018955,0.70558207096049,0.724657127803825,0.450993942301336,0.441041186475329,-0.013671780069087,0.256298918082402,0.195429336572909,0.647744039074295,0.631501501672104,0.140626832616438,0.384280960491299,0.376827086077422
"XMR",0.860331949503529,0.836374472357839,0.786786928742376,0.212719057417927,0.633980022740974,0.64474240166999,0.723804563865827,0.78650482843181,0.531657403207097,0.386867041434532,0.447028526072646,0.746112408884964,1,0.722492084660195,0.456799496831484,0.601321405659044,0.0133026413031406,0.813697841575053,0.189957046945301,0.688075800895161,0.729562846631731,0.752879850654427,0.684335691752189,0.826485424422809,0.343877884613719,0.622967983268265,0.597828863287268,-0.135477710569062,0.468146413780092,0.529932159877937,0.696927669177987,0.729813956452921,0.0386616532778234,0.764931180402241,0.667022388448486,0.153244856525034,-0.102322484394593,0.341105137569859,0.731407431048682,0.765461060814248,0.388970018560288,0.522577570645451,0.0318119677409443,0.316751075172399,0.28132700356749,0.671692295499331,0.682787161680194,0.30560739421799,0.386048015795965,0.270425464982445
"ADA",0.788894362717418,0.801028927951498,0.769953579865764,0.127423037720074,0.774793496590405,0.678354934745107,0.779706676255883,0.808740392972299,0.446605606296015,0.345271364362589,0.328853087534592,0.711116033027292,0.722492084660195,1,0.384001261659089,0.625915082541675,0.0393111610138331,0.71791835439671,0.146168687062299,0.657428115818999,0.801315692483782,0.682116140884132,0.708777482064609,0.773593271525897,0.288591182498788,0.598542163441141,0.583151329130738,-0.120198688881062,0.517365266031969,0.43184490162575,0.720774624084188,0.70146413591198,-0.0297820207085319,0.680567885165824,0.708849224135726,0.115941409232079,-0.0936657010199145,0.290320102343461,0.679616730329476,0.752053778305005,0.505146155754181,0.477106698644556,0.0627575455115509,0.270501624263535,0.315927331001489,0.751780872070822,0.572146791367428,0.353411197725131,0.385939149914681,0.239077461856804
"HT",0.377913666673937,0.456609616669907,0.432050842687785,0.137674371897355,0.28412581157882,0.460545388494455,0.457963724559445,0.474689167628993,0.55148985835712,0.316997126236129,0.299067408812751,0.329639502394326,0.456799496831484,0.384001261659089,1,0.263085829262824,0.0256487497865078,0.506120069988173,0.16926204963668,0.396102465697864,0.459954189146821,0.462684528621485,0.352074591615745,0.515716729813899,0.183647952724103,0.397858112840237,0.508990415939081,-0.0963929620127952,0.331868392961778,0.280597071280287,0.452135488298493,0.454233064457278,0.0861516986325488,0.337718246175608,0.400096081186774,0.0153678643625234,-0.066976608812105,0.565353160437616,0.392510429000743,0.421819585160273,0.215117897838626,0.306847526906356,0.179243266943597,0.419687765831585,0.180693269751267,0.396823580027889,0.334094865984355,0.0641523162665416,0.167794892644839,0.309150633985747
"TRX",0.595682563450479,0.657519953425413,0.621409076054362,0.0964495875443944,0.504428885901424,0.504269984332932,0.558010063299254,0.614010157404333,0.427018149388937,0.310683807665612,0.386000797635353,0.600909065207471,0.601321405659044,0.625915082541675,0.263085829262824,1,0.0711158691565342,0.55371319772683,0.09306050189991,0.54951088763552,0.633492543134494,0.535150214399911,0.603508753639949,0.587401661262346,0.163323791805766,0.454057769994464,0.487832720067225,-0.0896379347791031,0.323802336181441,0.330602392870807,0.602546007930178,0.529333667964903,-0.0524774434901402,0.510993079111247,0.570179605049911,0.18624551130052,-0.00916831689967632,0.193284203953757,0.533829746551198,0.570984989193257,0.438321023299071,0.308804015459706,0.0229263147752301,0.268619453632278,0.248242958581077,0.59973217889913,0.546042481150667,0.23459208459504,0.453894661511633,0.217944221396433
"USDC",0.0400141990930775,0.0785094995945736,0.0925095652383342,0.148697795411813,0.0358809636426721,0.0747199433681866,0.137326636074618,0.112771205176318,0.0782766987258381,0.0602552632714562,0.0485464088472376,0.0841318459034428,0.0133026413031406,0.0393111610138331,0.0256487497865078,0.0711158691565342,1,-0.0351684687529152,0.0566285968992758,0.200159958811093,0.032894382128289,0.0692848047912246,-0.0355731336271815,0.0830788110642516,0.150084974807295,-0.0502611770615872,-0.0160882732797833,0.402830120984178,0.082743586592954,-0.02051465144812,-0.00168157734369955,0.0278238907631818,0.236289010965777,0.0168605533506178,0.1172429028035,0.133600963245377,-0.163012174079221,-0.0475669056308194,0.112043396776367,0.146600231423756,0.141839769025292,0.041571477217828,0.00671083866477036,-0.0143518078645286,0.0165176285231066,0.0170409376798513,0.00992243293790573,-0.157629125987622,0.0263185806826561,0.0833412573526322
"DASH",0.773145200338584,0.788242971274711,0.755659153435648,0.150191609232113,0.626472112380964,0.656988492169281,0.696845955428309,0.7853979617448,0.539290161940323,0.372104882793942,0.388233222724589,0.72353852264235,0.813697841575053,0.71791835439671,0.506120069988173,0.55371319772683,-0.0351684687529152,1,0.259903799802486,0.655617425940448,0.737099110644392,0.732691575008174,0.680976803965053,0.843213481835595,0.337200681370671,0.623565997078993,0.598425777480163,-0.16244880539191,0.459436394917592,0.441607032048421,0.786635182438644,0.713284523910067,-0.056122550403261,0.823657402234002,0.705701560660421,0.146271241044944,-0.0608056419330684,0.257225689282639,0.710740900423506,0.719295252466892,0.36484913561563,0.542751121429596,0.105940275851724,0.253831908867706,0.321492149661839,0.703698314997093,0.66609905187995,0.306175472129526,0.382025686999699,0.324243703631291
"CRO",0.140173062792378,0.149998573703051,0.152743489268778,-0.00424497676117417,0.103257482501738,0.140078091538455,0.111452700298046,0.149619129901781,0.0949927313070706,0.0765233937687848,0.0973813398640507,0.251230466187161,0.189957046945301,0.146168687062299,0.16926204963668,0.09306050189991,0.0566285968992758,0.259903799802486,1,0.118131045004278,0.0771534821212848,0.183754120398074,0.199920397281887,0.287294633767618,0.0508421702246589,0.065289766597897,0.10405570576779,-0.0498334635927356,0.0954356718160692,0.102517672644168,0.313176227647034,0.191043770584032,0.0160106013092557,0.289234593613103,0.122280001892803,0.0757019239639106,0.00515788850730581,0.0458844779584146,0.188515511531303,0.123872998437802,-0.0237075771241468,0.148942316792456,0.021115122256625,0.0927749837510137,0.0342919003720592,0.197922632657951,0.131139792089141,0.142043022128726,0.0386377016533345,-0.00674593045902351
"ETC",0.720509210181669,0.743865574337217,0.69669625826712,0.128189844077527,0.642503182975875,0.642298308342459,0.642191782017627,0.695393192021835,0.422974448835283,0.424342484867075,0.34387142206892,0.679240082376925,0.688075800895161,0.657428115818999,0.396102465697864,0.54951088763552,0.200159958811093,0.655617425940448,0.118131045004278,1,0.634172810666372,0.702480923157259,0.637338892458674,0.719052417361207,0.252526819064235,0.575502743201543,0.46536557615111,-0.0930159058526229,0.420748379031736,0.419408558697167,0.626881137520052,0.680205010770357,-0.0356268773669848,0.655524533250227,0.705778208569616,0.127485447037787,-0.0927395506632368,0.285299702364053,0.62888661798098,0.688052171112963,0.419847237203002,0.459699054936108,0.0425509289243241,0.306614668612758,0.232039568661895,0.601432938589132,0.546891232662945,0.186663375242318,0.310541958897411,0.45625777523851
"NEO",0.779862927434104,0.800080044618432,0.743741153882992,0.137798171575367,0.682776432471842,0.683423375986668,0.772710661100182,0.787819467298881,0.524375858385225,0.357526750189534,0.380505311449433,0.695708658217135,0.729562846631731,0.801315692483782,0.459954189146821,0.633492543134494,0.032894382128289,0.737099110644392,0.0771534821212848,0.634172810666372,1,0.71210015535913,0.692536390309527,0.760828070866339,0.293333525308326,0.690566355121538,0.6986493086919,-0.111293287644536,0.564205801500279,0.430735522476501,0.676360872260443,0.70574605725643,-0.0053433320089638,0.66645468242392,0.741842995537553,0.215869263150771,-0.0960332756637639,0.296567528291118,0.632708910021003,0.766939146665102,0.491242096427095,0.421272707171693,0.0510495647016672,0.248945969939052,0.323247633745806,0.722102350623664,0.587278507335976,0.252230164447157,0.486980464685301,0.217222913762146
"MIOTA",0.740292391680559,0.797302424032213,0.750714298841109,0.216474399298686,0.565404220730178,0.636338854843371,0.64237251506067,0.745920277380108,0.424601007460544,0.389786648855235,0.380527924118382,0.68924205490746,0.752879850654427,0.682116140884132,0.462684528621485,0.535150214399911,0.0692848047912246,0.732691575008174,0.183754120398074,0.702480923157259,0.71210015535913,1,0.634270010681556,0.721906344964754,0.314660602103361,0.60621918777507,0.541799231401745,-0.131395243612702,0.438246382852336,0.441807072122801,0.666983418464236,0.662062766719942,0.0231358232460669,0.671883494963473,0.721081136292273,0.138302210660393,-0.0961488825431534,0.287234896392298,0.669876018008765,0.760283181586323,0.369250374528551,0.363080784019079,0.0320149266545386,0.309062576816155,0.270610990438506,0.677901186667765,0.525717626115296,0.224104486465187,0.313968736705911,0.282960470871403
