"","BTC","ETH","XRP","USDT","BCH","BSV","LTC","EOS","BNB","XTZ","LINK","XLM","XMR","ADA","HT","TRX","USDC","DASH","CRO","ETC","NEO","MIOTA","XEM","ZEC","INO","MKR","ONT","PAX","DOGE","BAT","VET","BTG","TUSD","DCR","QTUM","INB","THR","ZB","ZRX","CNX","REP","WAVES","PZM","RVN","SNX","OMG","NANO","CENNZ","HOT","SEELE"
"LINK",0.349577757386831,0.439445890366678,0.425965763009943,0.147702568688534,0.342558050277754,0.275886947134198,0.35583390376485,0.404505138830701,0.311333881471919,0.221029685514575,1,0.381422866630212,0.365097211468481,0.363476176341282,0.305071976334993,0.389771762431889,0.0442559909283232,0.390711850657075,0.109450423927115,0.340117016587005,0.412906270750236,0.3964480382631,0.393369301458104,0.376776139555036,0.116209910401163,0.330058243570873,0.358164042421768,-0.0488944920129382,0.295010750368778,0.310927396146663,0.386450336424843,0.331463311123568,-0.0148939787802291,0.318596397944927,0.459352862435391,-0.0981594667943175,-0.0328569824952439,0.241754276247778,0.335676982822577,0.125540865409737,0.267772146772065,0.256641938777268,0.103723782538451,0.192073662378609,0.10592880285062,0.439105213399851,0.367704630800813,0.137192307509998,0.298440251708539,0.208720365833682
"XLM",0.623650007652142,0.743867892828794,0.801400922279333,0.11881772206359,0.656509181142446,0.466406644135813,0.691827554534091,0.691999768491314,0.546760192896929,0.459251288651184,0.381422866630212,1,0.706724907267985,0.760625536190415,0.432386119909439,0.686878304898672,0.0436128804915099,0.689451969422124,0.175144426101388,0.656919939530179,0.674549777491951,0.713435397143133,0.685631557785502,0.675762456939621,0.253592372773894,0.593676323468852,0.585559298257333,-0.0547369254208857,0.543052702712591,0.502011146567798,0.52409406100695,0.613195849953186,-0.0356435985948602,0.574784057752979,0.690930738629986,-0.0458565871355501,0.0588382193141591,0.325177558383791,0.645350430268991,0.24949954841985,0.507961358147541,0.488099210014645,0.0575724284149003,0.444649503027134,0.284833462868419,0.695610224851406,0.607833891599159,0.253345063687839,0.451045375448936,0.235212122723301
"XMR",0.762980033554532,0.776726357734192,0.73357617418493,0.230834491240094,0.696875910230805,0.504009574123138,0.732249820822365,0.747522233444538,0.638702943481595,0.467842472490252,0.365097211468481,0.706724907267985,1,0.733224975004212,0.501350874418063,0.695919403230099,0.0197714991223144,0.774814148496558,0.201000370611269,0.672390864562606,0.708295901035708,0.70235552321259,0.649723274069165,0.738142704591631,0.297740506833838,0.637314048932032,0.637940826802395,-0.0475164058809133,0.578266151736774,0.548447311274251,0.548339187585648,0.677331424949535,0.0116864617922583,0.652365876389708,0.686437411516909,-0.0352313856679276,0.0163977215485429,0.433855833026018,0.614166972673543,0.332292221091944,0.52399366196121,0.534352055938409,0.125830134143436,0.449770175895631,0.336835297789806,0.683282672703289,0.633019457769116,0.295983302586818,0.453882592309635,0.204956632325912
"ADA",0.706776030969779,0.831334320791833,0.820890055634228,0.128611978718453,0.783061559413551,0.514144138685171,0.81144731088479,0.83208050446978,0.589181370275373,0.475654653924326,0.363476176341282,0.760625536190415,0.733224975004212,1,0.485098133985099,0.770822645298499,0.0174835451658447,0.756178930284261,0.168965992100612,0.721752858382933,0.767664137103088,0.752290977675832,0.697802657151937,0.766737222049073,0.290014612948774,0.649605873660967,0.686981656412339,-0.0860033552547881,0.596719884574053,0.56479803847827,0.61212764671727,0.693303415965445,-0.055990340954623,0.625775703228229,0.74952718410185,-0.0144209347422213,0.00760153386252091,0.399670361077985,0.66712515274166,0.306174969167533,0.569426365767627,0.528911566514605,0.124586005949234,0.46967710595458,0.355373939783972,0.788778677141911,0.625331271077875,0.303034618077023,0.51141170178008,0.198578924709837
"HT",0.433236911312176,0.518305048156592,0.483020137771326,0.0701376718259141,0.428601018713511,0.378219243095458,0.540600892755725,0.527604601894273,0.617811757564377,0.379297802991207,0.305071976334993,0.432386119909439,0.501350874418063,0.485098133985099,1,0.441656807310386,0.0212838046711052,0.511677999034751,0.174732659343915,0.484814139996971,0.456224110986756,0.465014441462857,0.35664201528288,0.509173942891925,0.218342612106469,0.485194863442787,0.492711989239862,-0.0860415653886231,0.415291359171616,0.369498475182489,0.461665524739316,0.485616327458247,-0.00336478285190879,0.421364689482498,0.470095524880927,0.0226148304042859,-0.00801352518354559,0.584590076105303,0.453616627708225,0.223636703678081,0.357647684645978,0.351664891587074,0.163554876800907,0.48000138130842,0.16704977779845,0.485647108038283,0.426209773475435,0.14578437288337,0.308588661901724,0.216294716144144
"TRX",0.642291989629922,0.749389446661579,0.742469985620061,0.106198428772429,0.654915721179899,0.5162451133722,0.690361903380809,0.731597131289999,0.572635479941659,0.430701720063912,0.389771762431889,0.686878304898672,0.695919403230099,0.770822645298499,0.441656807310386,1,0.0346659213129231,0.680512065690307,0.13091158332575,0.652901769158173,0.725875834073496,0.673355756070166,0.595004142355705,0.677590581017355,0.206632235165555,0.588549780084712,0.656800060851092,-0.0802176162839132,0.519702415266653,0.53758751161762,0.592547174151413,0.600830148746705,-0.0539485927766805,0.542228390346262,0.736790114122595,-0.011411844426901,0.0580102889720077,0.362642906821097,0.591605757685251,0.316623633035697,0.516787319610982,0.474940438211414,0.134150255724457,0.461114851424899,0.304402926521949,0.729204459950084,0.598051202297891,0.269665856723964,0.500795667385189,0.183108786391338
"USDC",-0.0127320633529236,0.0375709339377577,0.0647751275270076,0.304900658731261,-0.0131979423970951,-0.00877266784448752,0.0461699632593812,0.0611443661107369,0.0332895117932238,0.0590269321192253,0.0442559909283232,0.0436128804915099,0.0197714991223144,0.0174835451658447,0.0212838046711052,0.0346659213129231,1,-0.0227090515639383,0.0520105983610342,0.0959778103111106,0.0339702435487056,0.0548888606255474,0.00403537793544672,0.0432336716856284,0.0888754531923767,-0.00526281259762873,0.0038322176079913,0.530657865713698,0.0798524277916293,0.0206251253989451,0.0398704312510635,0.00795230924398581,0.422756424396405,-0.0101363860255301,0.0653025836165552,-0.00807010538372321,-0.127089093945829,-0.00533198658518451,0.0736819127823252,0.0136040378283964,0.0981550708699561,-0.0333797056057082,0.0210564401713066,0.00162727624088085,0.104945156067735,0.057193793217814,0.0197949111157205,-0.0643792772154302,0.0254052342378412,-0.00963951495020601
"DASH",0.777494722708722,0.822778590162387,0.741289750971547,0.151203347282331,0.735508539421557,0.523338438072088,0.747621705419622,0.773642469255023,0.648978742121121,0.468832674909262,0.390711850657075,0.689451969422124,0.774814148496558,0.756178930284261,0.511677999034751,0.680512065690307,-0.0227090515639383,1,0.256456733720866,0.683382426910272,0.74046754207084,0.717325216263564,0.654431451714805,0.784161065055648,0.313720224683258,0.64622762960707,0.659916731571628,-0.0672678185152526,0.572730551631978,0.540428067424747,0.59115407285556,0.696083884151102,-0.0442853788233483,0.670878463918293,0.745447712638114,-0.0492984330600263,0.0442152479708785,0.390251096283375,0.61949606812186,0.356020003172146,0.514766520760004,0.481064221633895,0.136021807030802,0.405147542378502,0.337390534356591,0.738235998892675,0.643735417820783,0.300160702600556,0.47736041681981,0.2212611769328
"CRO",0.232209146160878,0.191384656667485,0.138025392781303,0.0645300247531106,0.153904791698196,0.141805398059962,0.17709617827151,0.164931962124973,0.162634917684693,0.173254741393996,0.109450423927115,0.175144426101388,0.201000370611269,0.168965992100612,0.174732659343915,0.13091158332575,0.0520105983610342,0.256456733720866,1,0.183707931575517,0.169300179661366,0.16986166491844,0.185135761606731,0.237727458025154,0.108536618205908,0.162164178737993,0.164611116425194,0.0101990994934613,0.121418695811919,0.135533729790127,0.25036434272284,0.231378220415774,0.0344518499770445,0.260319748133519,0.189356875529584,-0.023264900614085,0.0286818557864885,0.0511455215377743,0.163511549742332,0.109832710431265,0.0868506597904681,0.130797512168589,0.054156902359976,0.132157225940118,0.0655919919817018,0.224961020619264,0.128292070814057,0.133290963963297,0.114256570221245,0.0320773553678402
"ETC",0.667194653379182,0.757118924367039,0.703546802609331,0.134450138663982,0.714027249309296,0.524806480304669,0.692519283218734,0.732596534985726,0.576304118635174,0.496222603003753,0.340117016587005,0.656919939530179,0.672390864562606,0.721752858382933,0.484814139996971,0.652901769158173,0.0959778103111106,0.683382426910272,0.183707931575517,1,0.658864724517184,0.69118693661443,0.652147555350283,0.67801792207114,0.232457772196127,0.631261329718092,0.592195034840036,-0.053759230534156,0.536283478196489,0.487648181492503,0.540576003621833,0.671185975746232,-0.0591947211174938,0.582980293512567,0.700751548562162,-0.0727366471770165,0.00387316189137131,0.394652642972365,0.57808953749011,0.282065102048298,0.503349755235197,0.493122722095165,0.0985850481558236,0.449732247873256,0.284415037809368,0.694293163413734,0.602213777771005,0.247212568197154,0.427575218359454,0.26206746186925
"NEO",0.746553246911196,0.777221720867421,0.733847989207528,0.172528412493277,0.709313001428034,0.545180210375871,0.745806486712543,0.755668413775697,0.578311444193264,0.458993976803402,0.412906270750236,0.674549777491951,0.708295901035708,0.767664137103088,0.456224110986756,0.725875834073496,0.0339702435487056,0.74046754207084,0.169300179661366,0.658864724517184,1,0.725231598891841,0.663041648831423,0.701998042317545,0.219501024749867,0.635411294789467,0.821419173274449,-0.038858712294401,0.582826570722211,0.4993797464629,0.606987809416509,0.663435815499413,0.00282602759151284,0.592345123532369,0.824810967571594,0.0137227695226414,0.0212624433648552,0.369110203742882,0.585536305854806,0.278813725923071,0.532243685462797,0.470384992020112,0.130587960342958,0.412905974872487,0.29773374997402,0.773174121416246,0.599298813818455,0.245233696736567,0.52160593867904,0.21682102700113
"MIOTA",0.654052299814882,0.767174720273926,0.780976002398299,0.188326208669337,0.654473387779997,0.559321141787046,0.68871442250563,0.751368902829435,0.553033923675033,0.474172154840755,0.3964480382631,0.713435397143133,0.70235552321259,0.752290977675832,0.465014441462857,0.673355756070166,0.0548888606255474,0.717325216263564,0.16986166491844,0.69118693661443,0.725231598891841,1,0.668936212016536,0.717685755632705,0.251454138687545,0.638497264923605,0.640855448273489,-0.0150550954856442,0.5264913421344,0.55168516853749,0.528938839227023,0.644074730205657,0.00559588494531199,0.572759127492148,0.725648284322205,-0.0263244866878532,0.00652962803013868,0.350575874197919,0.644397817376792,0.260186765070507,0.476443834620308,0.420513585041237,0.0965372014266502,0.463363754658616,0.310224984441699,0.736271320619329,0.609429218399491,0.218509344431388,0.457889401531543,0.222265188838284
"XEM",0.658418830239936,0.745931310673577,0.680402521403343,0.158898256911873,0.662877885667775,0.421209441460628,0.647549817501695,0.686815942063291,0.48812715907279,0.440487571641912,0.393369301458104,0.685631557785502,0.649723274069165,0.697802657151937,0.35664201528288,0.595004142355705,0.00403537793544672,0.654431451714805,0.185135761606731,0.652147555350283,0.663041648831423,0.668936212016536,1,0.658632853008556,0.186516134217926,0.558031839962605,0.565430170175861,-0.0651935393497539,0.531700860241648,0.492564128444044,0.531621429281876,0.60766963699185,-0.0919207405030939,0.575502478480812,0.67145067249527,-0.068687401144797,0.0755396159499703,0.319378470315058,0.61349565790052,0.262603284025976,0.449508157848155,0.425252210857204,0.122644868640284,0.401354530726785,0.302434626489832,0.698052494274894,0.61233959388425,0.287733065619391,0.427407581059652,0.222414719888756
